RVIS,ensemblId:ID,TSS:int,strand,HGNCSymbol,entrezId,pLi
NA,ENSG00000223972,11869,1,DDX11L1,100287596,NA
NA,ENSG00000227232,29806,-1,WASH7P,100287171,NA
NA,ENSG00000243485,29554,1,MIR1302-9,100422919,NA
NA,ENSG00000237613,36081,-1,FAM138A,654835,NA
NA,ENSG00000268020,52473,1,OR4G4P,NA,NA
NA,ENSG00000240361,62948,1,OR4G11P,NA,NA
NA,ENSG00000186092,69091,1,OR4F5,79501,0.176329298172162
NA,ENSG00000233750,131025,1,CICP27,402483,NA
NA,ENSG00000222623,157887,-1,RNU6-1100P,NA,NA
NA,ENSG00000233653,332236,-1,CICP7,NA,NA
NA,ENSG00000235249,367640,1,OR4F29,729759,NA
NA,ENSG00000269732,379467,-1,WBP1LP7,NA,NA
NA,ENSG00000225972,564442,1,MTND1P23,NA,NA
NA,ENSG00000225630,565020,1,MTND2P28,NA,NA
NA,ENSG00000240409,568915,1,MTATP8P1,NA,NA
NA,ENSG00000248527,569076,1,MTATP6P1,NA,NA
NA,ENSG00000268663,610222,1,WBP1LP6,NA,NA
NA,ENSG00000185097,622053,-1,OR4F16,729759,NA
NA,ENSG00000229376,657472,1,CICP3,NA,NA
NA,ENSG00000223181,693716,-1,RNU6-1199P,NA,NA
NA,ENSG00000177757,752751,1,FAM87B,400728,NA
NA,ENSG00000225880,762902,-1,LINC00115,101927535,NA
NA,ENSG00000228794,762988,1,LINC01128,643837,NA
NA,ENSG00000230368,812283,-1,FAM41C,284593,NA
NA,ENSG00000234711,808672,1,TUBB8P11,NA,NA
96.68621701,ENSG00000187634,860260,1,SAMD11,148398,1.35381157129201e-10
73.4115347,ENSG00000188976,894689,-1,NOC2L,26155,1.33038194561114e-19
23.46041056,ENSG00000187961,895967,1,KLHL17,339451,2.51676266070248e-07
98.93450635,ENSG00000187583,901877,1,PLEKHN1,84069,2.01974835522321e-08
NA,ENSG00000187642,917497,-1,C1orf170,84808,NA
NA,ENSG00000188290,935552,-1,HES4,57801,0.00014794288110518
68.01564027,ENSG00000187608,948803,1,ISG15,9636,0.00984781293610986
98.62170088,ENSG00000188157,955503,1,AGRN,375790,0.17335234048116
NA,ENSG00000237330,1009687,-1,RNF223,401934,NA
88.8856305,ENSG00000131591,1051741,-1,C1orf159,54991,0.0908776364218918
NA,ENSG00000207730,1102484,1,MIR200B,406984,NA
NA,ENSG00000207607,1103243,1,MIR200A,406983,NA
NA,ENSG00000198976,1104385,1,MIR429,554210,NA
NA,ENSG00000205231,1114935,-1,TTLL10-AS1,100506376,NA
98.514174,ENSG00000162571,1109264,1,TTLL10,254173,1.94738806982348e-05
95.68914956,ENSG00000186891,1142071,-1,TNFRSF18,8784,8.36589277636991e-07
86.15835777,ENSG00000186827,1149518,-1,TNFRSF4,7293,0.00720932981621916
63.96871945,ENSG00000078808,1167411,-1,SDF4,51150,0.0013098271899439
NA,ENSG00000176022,1167629,1,B3GALT6,126792,0.0481044658297901
NA,ENSG00000184163,1182102,-1,FAM132A,388581,4.67625423888147e-05
31.45650049,ENSG00000160087,1209265,-1,UBE2J2,118424,0.415938846926224
99.79472141,ENSG00000162572,1215816,1,SCNN1D,6339,2.82187066585139e-15
11.84750733,ENSG00000131584,1244989,-1,ACAP3,116983,0.0394309302206711
58.70967742,ENSG00000169972,1243947,1,PUSL1,126789,6.58681964674524e-12
NA,ENSG00000127054,1260071,-1,CPSF3L,102465435,5.7881402380741e-09
NA,ENSG00000224051,1260136,1,GLTPD1,80772,0.00138279022732508
99.05180841,ENSG00000169962,1266694,1,TAS1R3,83756,NA
43.77321603,ENSG00000107404,1284730,-1,DVL1,1855,0.157164971605877
39.84359726,ENSG00000162576,1297157,-1,MXRA8,54587,0.00471297228153819
56.78396872,ENSG00000175756,1310875,-1,AURKAIP1,54998,0.00247538764889321
79.42326491,ENSG00000221978,1334708,-1,CCNL2,81669,0.104548195351159
45.45454545,ENSG00000242485,1342693,-1,MRPL20,55052,0.000171803357075406
NA,ENSG00000264293,1341132,-1,RN7SL657P,NA,NA
NA,ENSG00000235098,1357149,-1,ANKRD65,441869,NA
NA,ENSG00000205116,1361508,1,TMEM88B,643965,NA
59.08113392,ENSG00000179403,1370241,1,VWA1,64856,0.0331997601703093
98.90518084,ENSG00000215915,1385069,1,ATAD3C,219293,4.90849565539176e-05
98.32844575,ENSG00000160072,1407143,1,ATAD3B,83858,1.92301228016303e-13
66.39296188,ENSG00000197785,1447531,1,ATAD3A,83858,0.0401305978810457
NA,ENSG00000205090,1475833,-1,TMEM240,339453,NA
37.83968719,ENSG00000160075,1510249,-1,SSU72,29101,0.606848849205337
NA,ENSG00000228594,1535476,-1,C1orf233,643988,NA
97.57575758,ENSG00000197530,1550795,1,MIB2,142678,0.000158543294053226
NA,ENSG00000189409,1567474,1,MMP23B,8510,NA
12.27761486,ENSG00000248333,1590473,-1,CDK11B,728642,0.72829443952872
NA,ENSG00000189339,1624167,-1,SLC35E2B,728661,0.62100245921917
NA,ENSG00000215914,1631369,1,MMP23A,NA,NA
45.86510264,ENSG00000008128,1655766,-1,CDK11A,728642,5.23535259576534e-05
76.78396872,ENSG00000215790,1677431,-1,SLC35E2,728661,0.374305907762633
65.30791789,ENSG00000008130,1711896,-1,NADK,65220,0.00126768961404905
28.39687195,ENSG00000078369,1822495,-1,GNB1,2782,0.995187833121982
